# tau [ps];  F2NO4S2 [ps*S/m];  F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2 [ps*S/m];  C4H10O2-var [ps^2*S^2/m^2];  Li [ps*S/m];  Li-var [ps^2*S^2/m^2];  F2NO4S2/F2NO4S2 [ps*S/m];  F2NO4S2/F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2/C4H10O2 [ps*S/m];  C4H10O2/C4H10O2-var [ps^2*S^2/m^2];  Li/Li [ps*S/m];  Li/Li-var [ps^2*S^2/m^2];  F2NO4S2/C4H10O2 [ps*S/m];  F2NO4S2/C4H10O2-var [ps^2*S^2/m^2];  F2NO4S2/Li [ps*S/m];  F2NO4S2/Li-var [ps^2*S^2/m^2];  C4H10O2/Li [ps*S/m];  C4H10O2/Li-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
17850.000000;  9814.496857;  226.420821;  1361.892722;  0.245924;  28717.731312;  1277.171652;  1222.354098;  15466.415321;  -983.950323;  17.762494;  -4077.700689;  102999.083801;  -4083.400009;  2309.678489;  -18717.036795;  93338.855533;  3591.600696;  3270.391514;  16845.987869;  50705.834301
17880.000000;  9830.427675;  227.092226;  1364.186098;  0.246271;  28768.105279;  1279.153405;  1220.159806;  15481.438500;  -985.764096;  17.771559;  -4082.398441;  103454.970026;  -4088.531707;  2312.202790;  -18753.131021;  93352.068529;  3598.512570;  3271.356455;  16871.566164;  50868.509084
17910.000000;  9846.345514;  227.728971;  1366.480071;  0.246691;  28818.443984;  1281.171985;  1218.368530;  15488.923793;  -987.565332;  17.770455;  -4087.390684;  103900.770700;  -4093.806582;  2313.508963;  -18789.594838;  93389.001055;  3605.489052;  3273.104021;  16896.769716;  51025.015059
17940.000000;  9862.195439;  228.399583;  1368.772172;  0.247094;  28868.763840;  1282.683137;  1217.516532;  15502.785105;  -989.335478;  17.778310;  -4092.773942;  104287.170535;  -4099.400620;  2315.852578;  -18826.702565;  93469.027763;  3612.579373;  3276.224518;  16921.614750;  51185.130641
17970.000000;  9878.015902;  229.111036;  1371.063143;  0.247508;  28919.041337;  1284.543282;  1216.059999;  15520.041779;  -991.125623;  17.789744;  -4097.316298;  104639.766959;  -4104.763108;  2318.671544;  -18863.515014;  93558.714743;  3619.622211;  3279.601403;  16947.082549;  51353.033485
18000.000000;  9893.885428;  229.838962;  1373.352779;  0.248080;  28969.187676;  1286.503541;  1215.200034;  15540.485533;  -992.892562;  17.806478;  -4101.196212;  105036.824848;  -4110.363234;  2321.977217;  -18901.103811;  93688.575065;  3626.810228;  3284.398229;  16972.880326;  51547.840993
18030.000000;  9909.796106;  230.523442;  1375.643780;  0.248651;  29019.699918;  1288.686994;  1214.699956;  15564.218218;  -994.647488;  17.826604;  -4103.396817;  105449.713271;  -4116.109688;  2325.756672;  -18938.842816;  93813.550628;  3634.041352;  3289.016371;  17000.884302;  51763.303266
18060.000000;  9925.724418;  231.227894;  1377.936293;  0.249162;  29070.366873;  1290.875090;  1213.711948;  15577.464754;  -996.419994;  17.833933;  -4105.651432;  105839.016390;  -4121.682252;  2328.007476;  -18975.812810;  93901.490780;  3641.133516;  3292.397193;  17029.306561;  51934.114322
18090.000000;  9941.679988;  231.994497;  1380.228758;  0.249805;  29121.037785;  1292.970911;  1212.304142;  15592.216901;  -998.205854;  17.842330;  -4107.639967;  106245.801854;  -4127.109707;  2330.474731;  -19012.148569;  93956.036355;  3648.112520;  3294.585931;  17058.259096;  52137.330158
18120.000000;  9957.698320;  232.840002;  1382.523931;  0.250453;  29171.708690;  1294.639679;  1210.726480;  15601.578194;  -999.997183;  17.845053;  -4108.851837;  106699.913078;  -4132.502441;  2332.318273;  -19049.570850;  94027.923149;  3655.294962;  3297.419933;  17087.030071;  52361.984863
18150.000000;  9973.754455;  233.740656;  1384.815939;  0.251205;  29222.427886;  1296.589816;  1209.395973;  15621.575591;  -1001.776199;  17.860017;  -4110.365604;  107209.024085;  -4137.997322;  2335.661906;  -19086.627426;  94089.661161;  3662.408991;  3299.958073;  17116.036692;  52622.892000
18180.000000;  9989.805913;  234.615705;  1387.109575;  0.252068;  29273.256635;  1298.946984;  1208.486690;  15641.332910;  -1003.541862;  17.874988;  -4111.895457;  107739.558809;  -4143.650332;  2338.954503;  -19125.429274;  94142.238270;  3669.840878;  3302.255400;  17143.982766;  52860.214540
