time;anion_self;anion_self_std;cation_self;cation_self_std;anion_cross;anion_cross_std;cation_cross;cation_cross_std;anion_cation;anion_cation_std;total_eh;total_eh_std
   1103.00000000;    342.03046760;      2.76863780;    537.73997500;      2.37230023;   -283.46193740;      6.47953057;   -165.82092000;     36.80624250;    295.17962240;     28.92039810;    725.66720740;     71.09769830
   1104.00000000;    342.28216860;      2.77368724;    538.16320840;      2.37741432;   -283.66647720;      6.48774677;   -165.94466900;     36.83578083;    295.41731280;     28.94408031;    726.25154420;     71.15591946
   1105.00000000;    342.53522160;      2.77761409;    538.58745480;      2.38245898;   -283.87196800;      6.48805633;   -166.06688440;     36.82839577;    295.65702360;     28.93826464;    726.84084820;     71.14162227
   1106.00000000;    342.78834820;      2.77868055;    539.01012060;      2.38569708;   -284.07504200;      6.49354877;   -166.17170700;     36.84620153;    295.90928400;     28.95052629;    727.46100480;     71.17176708
   1107.00000000;    343.04038840;      2.77815595;    539.43404500;      2.38783139;   -284.28149820;      6.49789481;   -166.30616980;     36.86512266;    296.13902080;     28.96314998;    728.02578680;     71.20280229
   1108.00000000;    343.29319140;      2.77792025;    539.85688600;      2.38862689;   -284.48903400;      6.49967147;   -166.44155620;     36.87958109;    296.36716300;     28.97398294;    728.58665000;     71.22943451
   1109.00000000;    343.54649700;      2.77908401;    540.27926460;      2.38984217;   -284.69666760;      6.50540997;   -166.57391580;     36.90660039;    296.59734320;     28.99284747;    729.15252160;     71.27580877
   1110.00000000;    343.79930380;      2.77959601;    540.70142940;      2.39169190;   -284.90157100;      6.51130155;   -166.69188520;     36.93236080;    296.83877280;     29.01088022;    729.74605040;     71.32014063
   1111.00000000;    344.04896780;      2.78146424;    541.12183060;      2.39473548;   -285.10768440;      6.51687756;   -166.83573360;     36.95746220;    297.05826300;     29.03040808;    730.28564340;     71.36814743
   1112.00000000;    344.29759380;      2.78288072;    541.54069180;      2.39831182;   -285.31072700;      6.51809880;   -166.96513480;     36.96089915;    297.28799840;     29.03231141;    730.85042260;     71.37282825
   1113.00000000;    344.54650540;      2.78626267;    541.96016500;      2.40277806;   -285.51724180;      6.52135891;   -167.11538080;     36.95950699;    297.50167480;     29.03104170;    731.37572280;     71.36970685
   1114.00000000;    344.79545260;      2.79107609;    542.38127500;      2.40838466;   -285.71834180;      6.52897034;   -167.23265200;     36.98819658;    297.74281940;     29.05156661;    731.96855300;     71.42016622
   1115.00000000;    345.04657300;      2.79416455;    542.80401800;      2.41126573;   -285.92338580;      6.53275753;   -167.36279520;     36.99585449;    297.97504380;     29.05690200;    732.53945400;     71.43328388
   1116.00000000;    345.29744280;      2.79926161;    543.22473820;      2.41533067;   -286.12986480;      6.53599579;   -167.50162400;     36.99640019;    298.19877040;     29.05536892;    733.08946280;     71.42951520
   1117.00000000;    345.55041860;      2.79983368;    543.64791560;      2.41728589;   -286.33614760;      6.54004501;   -167.62829780;     37.01288224;    298.43409660;     29.06697303;    733.66798480;     71.45804061
   1118.00000000;    345.80071180;      2.80080402;    544.06873960;      2.41902674;   -286.54017640;      6.54667426;   -167.75533340;     37.03797763;    298.66726660;     29.08501251;    734.24120840;     71.50239093
   1119.00000000;    346.05262220;      2.80217761;    544.49464540;      2.42162222;   -286.74462080;      6.55251757;   -167.87982380;     37.05753429;    298.90648940;     29.09698408;    734.82931260;     71.53182198
   1120.00000000;    346.30408100;      2.80264613;    544.91749120;      2.42283263;   -286.94678680;      6.55541361;   -167.98964920;     37.07283917;    299.15492200;     29.10877492;    735.44005820;     71.56080904
   1121.00000000;    346.55611300;      2.80534136;    545.33978800;      2.42186962;   -287.14967760;      6.55760602;   -168.09989100;     37.07030673;    299.40258840;     29.10501572;    736.04892100;     71.55156935
   1122.00000000;    346.80684060;      2.81102887;    545.76090840;      2.42572202;   -287.35614920;      6.56478286;   -168.23997520;     37.07257039;    299.62563680;     29.10351132;    736.59726160;     71.54787090
   1123.00000000;    347.05622520;      2.81437705;    546.18104300;      2.42798600;   -287.56201360;      6.56944168;   -168.38375260;     37.07427346;    299.84497260;     29.10231238;    737.13647440;     71.54492172
   1124.00000000;    347.30593340;      2.81805023;    546.60169300;      2.43423597;   -287.76586620;      6.57413473;   -168.51320880;     37.07734336;    300.07608140;     29.10332043;    737.70463260;     71.54740084
   1125.00000000;    347.55480560;      2.82237592;    547.02343100;      2.43839456;   -287.96620000;      6.57864591;   -168.62671780;     37.09352640;    300.32071180;     29.11454089;    738.30603040;     71.57498512
   1126.00000000;    347.80350340;      2.82340024;    547.44643700;      2.43800514;   -288.16805080;      6.57926932;   -168.75223800;     37.08944117;    300.55681620;     29.11098350;    738.88646740;     71.56623901
   1127.00000000;    348.05419740;      2.82358323;    547.86846500;      2.43819314;   -288.37383520;      6.58390730;   -168.88908320;     37.11297727;    300.78315560;     29.12909198;    739.44289960;     71.61075910
   1128.00000000;    348.30528760;      2.82577817;    548.28929920;      2.44040957;   -288.57782060;      6.58678339;   -169.01078840;     37.12479759;    301.02056220;     29.13845800;    740.02653960;     71.63378431
   1129.00000000;    348.55472380;      2.82897200;    548.71043040;      2.44404139;   -288.77886000;      6.58936068;   -169.12459500;     37.13738397;    301.26447660;     29.14994355;    740.62617620;     71.66202157
   1130.00000000;    348.80485140;      2.83287875;    549.13432720;      2.44794880;   -288.98257380;      6.59844093;   -169.25375760;     37.17125045;    301.49839660;     29.17576866;    741.20124340;     71.72551100
