# tau / ps;  MSD / pm^2;  Derivative
77.000000; 1602056.322258; 21435.339985
78.000000; 1623491.662243; 21519.303212
79.000000; 1645010.965454; 21507.242678
80.000000; 1666518.208132; 21509.158438
81.000000; 1688027.366570; 21497.915878
82.000000; 1709525.282448; 21510.259419
83.000000; 1731035.541867; 21496.113809
84.000000; 1752531.655675; 21499.672775
85.000000; 1774031.328450; 21450.063694
86.000000; 1795481.392145; 21534.316431
87.000000; 1817015.708576; 21589.083260
88.000000; 1838604.791836; 21572.536245
89.000000; 1860177.328080; 21599.121830
90.000000; 1881776.449911; 21597.335670
91.000000; 1903373.785581; 21650.573815
92.000000; 1925024.359395; 21596.411005
93.000000; 1946620.770400; 21655.733755
94.000000; 1968276.504155; 21664.127465
95.000000; 1989940.631619; 21783.342841
96.000000; 2011723.974461; 21835.420403
97.000000; 2033559.394864; 21786.688520
98.000000; 2055346.083384; 21792.059743
99.000000; 2077138.143127; 21803.473152
100.000000; 2098941.616279; 21787.526708
101.000000; 2120729.142986; 21837.514644
102.000000; 2142566.657630; 21791.459258
103.000000; 2164358.116888; 21898.826377
104.000000; 2186256.943265; 21877.600217
105.000000; 2208134.543482; 21809.566271
106.000000; 2229944.109753; 21816.243372
107.000000; 2251760.353125; 21746.776800
108.000000; 2273507.129925; 21644.523266
109.000000; 2295151.653191; 21683.522763
110.000000; 2316835.175954; 21715.547219
111.000000; 2338550.723173; 21698.069525
112.000000; 2360248.792698; 21700.875833
113.000000; 2381949.668531; 21713.496441
114.000000; 2403663.164972; 21711.848724
115.000000; 2425375.013696; 21688.794852
116.000000; 2447063.808548; 21637.143218
117.000000; 2468700.951766; 21608.113091
118.000000; 2490309.064857; 21682.390948
119.000000; 2511991.455805; 21725.271932
120.000000; 2533716.727737; 21729.328951
121.000000; 2555446.056688; 21775.135277
122.000000; 2577221.191965; 21776.393230
123.000000; 2598997.585195; 21754.234667
124.000000; 2620751.819862; 21740.655941
125.000000; 2642492.475802; 21751.194417
126.000000; 2664243.670219; 21692.133294
127.000000; 2685935.803513; 21746.740788
128.000000; 2707682.544301; 21764.084126
129.000000; 2729446.628428; 21731.857808
130.000000; 2751178.486236; 21729.576486
131.000000; 2772908.062722; 21630.366706
132.000000; 2794538.429428; 21548.059394
133.000000; 2816086.488822; 21482.236504
134.000000; 2837568.725326; 21446.232782
135.000000; 2859014.958108; 21438.403346
136.000000; 2880453.361454; 21279.296317
137.000000; 2901732.657771; 21279.164577
138.000000; 2923011.822348; 21258.301524
139.000000; 2944270.123872; 21230.301165
140.000000; 2965500.425037; 21230.228374
141.000000; 2986730.653411; 21245.342729
142.000000; 3007975.996140; 21246.291101
143.000000; 3029222.287241; 21131.631107
144.000000; 3050353.918348; 21127.284804
145.000000; 3071481.203152; 21100.815139
146.000000; 3092582.018291; 21121.477207
147.000000; 3113703.495498; 21168.184880
148.000000; 3134871.680378; 21226.155964
149.000000; 3156097.836342; 21327.566015
150.000000; 3177425.402357; 21329.239327
151.000000; 3198754.641684; 21329.183391
152.000000; 3220083.825075; 21268.143553
153.000000; 3241351.968627; 21176.530765
154.000000; 3262528.499392; 21153.304234
155.000000; 3283681.803627; 21113.633547
156.000000; 3304795.437174; 21108.720118
157.000000; 3325904.157292; 21185.903441
158.000000; 3347090.060733; 21273.013915
159.000000; 3368363.074648; 21358.734979
160.000000; 3389721.809627; 21248.466052
161.000000; 3410970.275679; 21228.682782
162.000000; 3432198.958461; 21215.348222
163.000000; 3453414.306683; 21267.518123
164.000000; 3474681.824806; 21201.347953
165.000000; 3495883.172759; 21300.704293
166.000000; 3517183.877052; 21383.472223
167.000000; 3538567.349274; 21233.467970
168.000000; 3559800.817244; 21186.540881
169.000000; 3580987.358125; 21220.828804
170.000000; 3602208.186929; 21219.742500
171.000000; 3623427.929430; 21130.446208
172.000000; 3644558.375637; 21107.594572
173.000000; 3665665.970209; 21048.015244
174.000000; 3686713.985453; 21048.760247
175.000000; 3707762.745701; 21051.940157
176.000000; 3728814.685857; 21112.526385
177.000000; 3749927.212243; 21132.656702
178.000000; 3771059.868945; 21102.951681
179.000000; 3792162.820625; 21049.079702
