# tau / ps;  MSD / pm^2;  Derivative
243.000000; 2011049.500801; 8008.929848
244.000000; 2019058.430649; 8012.782508
245.000000; 2027071.213157; 8047.721523
246.000000; 2035118.934680; 7964.478499
247.000000; 2043083.413180; 7927.571413
248.000000; 2051010.984593; 7986.725129
249.000000; 2058997.709722; 8026.225065
250.000000; 2067023.934787; 7935.510322
251.000000; 2074959.445110; 7891.063598
252.000000; 2082850.508707; 7878.636873
253.000000; 2090729.145580; 7840.468855
254.000000; 2098569.614436; 7880.688200
255.000000; 2106450.302636; 7917.700756
256.000000; 2114368.003392; 7925.509764
257.000000; 2122293.513155; 7943.698475
258.000000; 2130237.211630; 7927.873410
259.000000; 2138165.085040; 7920.666958
260.000000; 2146085.751998; 7973.044311
261.000000; 2154058.796308; 7896.030844
262.000000; 2161954.827153; 7917.373787
263.000000; 2169872.200940; 7949.693057
264.000000; 2177821.893997; 7939.852110
265.000000; 2185761.746107; 7976.266136
266.000000; 2193738.012244; 8015.616117
267.000000; 2201753.628361; 7983.692196
268.000000; 2209737.320557; 7989.036353
269.000000; 2217726.356910; 7982.865744
270.000000; 2225709.222654; 7907.051370
271.000000; 2233616.274024; 8019.110462
272.000000; 2241635.384486; 8021.221573
273.000000; 2249656.606059; 8014.794733
274.000000; 2257671.400793; 8023.089395
275.000000; 2265694.490188; 7993.490737
276.000000; 2273687.980925; 7972.255597
277.000000; 2281660.236522; 7972.740753
278.000000; 2289632.977275; 7999.954811
279.000000; 2297632.932086; 7928.234528
280.000000; 2305561.166614; 7912.931455
281.000000; 2313474.098069; 7871.563681
282.000000; 2321345.661750; 7892.346790
283.000000; 2329238.008540; 7857.733330
284.000000; 2337095.741870; 7898.435694
285.000000; 2344994.177564; 7883.110701
286.000000; 2352877.288264; 7863.841660
287.000000; 2360741.129924; 7873.912920
288.000000; 2368615.042844; 7852.717063
289.000000; 2376467.759906; 7868.755689
290.000000; 2384336.515595; 7920.569440
291.000000; 2392257.085036; 7996.379747
292.000000; 2400253.464783; 8045.531443
293.000000; 2408298.996225; 8014.024124
294.000000; 2416313.020349; 8059.232116
295.000000; 2424372.252465; 8046.706183
296.000000; 2432418.958649; 8056.157841
297.000000; 2440475.116489; 8042.833118
298.000000; 2448517.949608; 8029.538205
299.000000; 2456547.487813; 8033.152426
300.000000; 2464580.640239; 8061.125785
301.000000; 2472641.766025; 8090.761747
302.000000; 2480732.527772; 8048.370288
303.000000; 2488780.898060; 8044.204823
304.000000; 2496825.102883; 8008.925008
305.000000; 2504834.027891; 8085.583560
306.000000; 2512919.611450; 8028.341849
307.000000; 2520947.953299; 8044.175790
308.000000; 2528992.129089; 7994.912285
309.000000; 2536987.041374; 7994.003536
310.000000; 2544981.044911; 8021.465533
311.000000; 2553002.510443; 8021.449515
312.000000; 2561023.959959; 7978.048939
313.000000; 2569002.008898; 7955.422124
314.000000; 2576957.431022; 8056.315143
315.000000; 2585013.746164; 8042.901297
316.000000; 2593056.647461; 8016.254064
317.000000; 2601072.901524; 8031.428887
318.000000; 2609104.330411; 8062.589755
319.000000; 2617166.920166; 7971.652737
320.000000; 2625138.572904; 7972.373675
321.000000; 2633110.946578; 7968.133537
322.000000; 2641079.080116; 7945.704272
323.000000; 2649024.784387; 7912.093598
324.000000; 2656936.877986; 7877.477064
325.000000; 2664814.355050; 7855.835829
326.000000; 2672670.190879; 7783.897700
327.000000; 2680454.088579; 7726.717587
328.000000; 2688180.806166; 7557.493461
329.000000; 2695738.299628; 7531.744146
330.000000; 2703270.043774; 7525.036726
331.000000; 2710795.080499; 7573.138462
332.000000; 2718368.218961; 7644.769149
333.000000; 2726012.988111; 7599.849137
334.000000; 2733612.837247; 7601.772461
335.000000; 2741214.609708; 7640.711083
336.000000; 2748855.320791; 7633.822504
337.000000; 2756489.143295; 7626.632005
338.000000; 2764115.775300; 7607.732071
339.000000; 2771723.507371; 7562.361168
340.000000; 2779285.868540; 7582.095906
341.000000; 2786867.964446; 7621.050121
342.000000; 2794489.014566; 7587.244644
343.000000; 2802076.259211; 7546.298680
344.000000; 2809622.557890; 7593.820256
345.000000; 2817216.378147; 7612.792235
346.000000; 2824829.170382; 7652.609405
347.000000; 2832481.779787; 7631.282742
348.000000; 2840113.062529; 7703.119665
349.000000; 2847816.182194; 7606.612805
350.000000; 2855422.795000; 7686.514058
351.000000; 2863109.309058; 7593.391142
352.000000; 2870702.700199; 7639.279070
353.000000; 2878341.979269; 7610.862310
354.000000; 2885952.841580; 7600.423780
355.000000; 2893553.265359; 7518.911885
356.000000; 2901072.177244; 7556.610665
357.000000; 2908628.787909; 7620.480331
358.000000; 2916249.268240; 7630.193450
359.000000; 2923879.461690; 7623.684772
360.000000; 2931503.146462; 7713.457638
361.000000; 2939216.604100; 7662.241795
362.000000; 2946878.845895; 7680.990325
363.000000; 2954559.836220; 7664.615270
364.000000; 2962224.451490; 7707.601831
365.000000; 2969932.053322; 7740.257091
366.000000; 2977672.310413; 7706.162185
367.000000; 2985378.472598; 7762.170685
368.000000; 2993140.643283; 7739.805798
369.000000; 3000880.449081; 7756.359289
370.000000; 3008636.808370; 7799.738556
371.000000; 3016436.546927; 7827.964792
372.000000; 3024264.511719; 7776.596831
373.000000; 3032041.108550; 7810.945051
374.000000; 3039852.053601; 7764.425187
375.000000; 3047616.478787; 7746.131081
376.000000; 3055362.609868; 7736.463800
377.000000; 3063099.073668; 7700.498130
378.000000; 3070799.571798; 7747.231775
379.000000; 3078546.803573; 7761.384552
380.000000; 3086308.188125; 7805.579413
381.000000; 3094113.767539; 7778.048569
382.000000; 3101891.816108; 7746.591698
383.000000; 3109638.407806; 7715.595141
384.000000; 3117354.002947; 7675.047008
385.000000; 3125029.049955; 7706.123017
386.000000; 3132735.172972; 7668.777383
387.000000; 3140403.950354; 7681.377352
388.000000; 3148085.327707; 7719.376969
389.000000; 3155804.704676; 7708.636020
390.000000; 3163513.340696; 7784.116270
391.000000; 3171297.456965; 7717.469122
392.000000; 3179014.926087; 7664.721268
393.000000; 3186679.647355; 7738.566485
394.000000; 3194418.213840; 7690.917660
395.000000; 3202109.131500; 7551.950985
396.000000; 3209661.082486; 7543.597900
397.000000; 3217204.680385; 7524.687749
398.000000; 3224729.368134; 7620.529100
399.000000; 3232349.897233; 7596.400425
400.000000; 3239946.297658; 7611.024170
401.000000; 3247557.321828; 7693.547818
402.000000; 3255250.869646; 7831.371741
403.000000; 3263082.241387; 7701.560412
404.000000; 3270783.801799; 7709.111725
405.000000; 3278492.913525; 7696.780176
406.000000; 3286189.693700; 7777.798439
407.000000; 3293967.492139; 0.000000
