time / ps;msd / pm^2;std / pm^2
1269.0;303380.1594452;3696.3121722688243
1278.0;305295.6624204;3694.755752695913
1287.0;307206.41270999995;3720.149927146802
1296.0;309114.88689799997;3722.6132509873028
1305.0;311015.5563284;3735.192305778172
1314.0;312921.78376;3748.8645477850196
1323.0;314822.94376500003;3749.7654361102514
1332.0;316720.2610162;3763.6589057446035
1341.0;318613.3429094;3777.5306802065347
1350.0;320519.3792414;3786.899220436794
1359.0;322405.8940694;3805.8386425885005
1368.0;324320.2787744;3814.3590732192106
1377.0;326236.9034976;3836.743331742421
1386.0;328147.49175259995;3857.8278574092255
1395.0;330049.6654578;3855.75731590819
1404.0;331965.05103439995;3877.4471168226178
1413.0;333865.6555844;3880.7875046595877
1422.0;335749.106964;3906.448460917597
1431.0;337656.90059659997;3940.0049484337947
1440.0;339574.89566080004;3964.7723358112844
1449.0;341479.6524152;3973.3572130164807
1458.0;343380.4753096;3986.7741932932413
1467.0;345284.63682320004;4002.2725995263904
1476.0;347183.58357899997;4022.2262059795225
1485.0;349080.8993268;4042.948104438842
1494.0;350974.61051519995;4072.696584070317
1503.0;352885.0016216;4088.4594618179913
1512.0;354788.18062939995;4113.145771818598
1521.0;356691.7062446;4135.955773075747
1530.0;358588.529902;4165.052857920379
1539.0;360503.0619206;4186.594149516409
1548.0;362396.001667;4211.687486074375
1557.0;364309.39610679995;4242.567308469145
1566.0;366223.31491899997;4260.055827995889
1575.0;368119.3461516;4287.266979915192
1584.0;370025.4225525999;4328.271544731879
1593.0;371928.6425644;4351.729856427418
1602.0;373816.7321676;4379.290980853836
1611.0;375713.062006;4413.090920321623
1620.0;377593.315818;4445.40264982834
1629.0;379480.8854918;4460.074691846162
1638.0;381375.70878020005;4497.441890749274
1647.0;383260.2113152;4538.704761979177
1656.0;385131.19983159995;4557.911998102204
1665.0;387009.8873086;4603.422056942203
1674.0;388897.1375656;4648.906053875679
1683.0;390802.11428960005;4685.342448460377
1692.0;392697.43756399996;4721.4678626101795
1701.0;394584.50864;4765.874744936656
1710.0;396493.87226740003;4820.826946978
1719.0;398386.2781392;4873.171142853572
1728.0;400273.8637192001;4907.776033388132
1737.0;402168.5813404;4931.153495866493
1746.0;404059.4868392;4978.917761299434
1755.0;405947.81558060006;5023.078895049694
1764.0;407844.7462526;5055.292014111315
1773.0;409739.21013719996;5093.600688386916
1782.0;411636.3122572;5140.414333681882
1791.0;413527.75707419997;5165.750705117665
1800.0;415425.16146900004;5209.145499848178
1809.0;417316.69565300003;5238.762096787282
1818.0;419193.84010780003;5292.367091908057
1827.0;421090.7786058;5312.710959936083
1836.0;422971.7117572;5355.583253729179
1845.0;424858.8198914;5379.731937561495
1854.0;426757.9997268001;5402.346123667942
1863.0;428639.92725;5423.889436439033
1872.0;430517.065051;5448.8722875569565
1881.0;432391.65829419997;5479.595540858955
1890.0;434278.5351498;5503.008341151395
1899.0;436158.05779060005;5507.592496276754
1908.0;438059.76283599995;5537.384946250751
1917.0;439949.20999019995;5567.69586295711
1926.0;441846.62369539996;5596.650905656287
1935.0;443735.41361840005;5630.944936479526
1944.0;445616.3352352;5665.938718529554
1953.0;447502.9346012;5692.484553034474
1962.0;449385.68973859993;5719.759068110932
1971.0;451272.6906323999;5742.476912524341
1980.0;453174.7811706;5769.570074760656
1989.0;455065.92563500005;5793.015796280083
1998.0;456957.90002420003;5833.810591443574
2007.0;458831.6920098;5847.47886194509
2016.0;460722.82968220004;5869.095666059935
2025.0;462620.882905;5904.343159680895
2034.0;464508.5071227999;5911.160328878058
2043.0;466401.74265400006;5939.226862171277
2052.0;468289.2793358;5964.475244140968
2061.0;470193.289136;5986.769714515286
2070.0;472100.534915;6016.725667701867
2079.0;474001.69147539994;6039.0657118595145
2088.0;475896.785451;6083.655152889533
2097.0;477809.35103439994;6109.54392920197
2106.0;479726.09732640005;6132.945072728782
2115.0;481641.7223216;6161.27784643909
2124.0;483565.490558;6179.1933093781545
2133.0;485473.542196;6193.014700316872
2142.0;487383.55749379995;6216.310793916569
2151.0;489300.08199960005;6252.577716249908
2160.0;491217.32371180004;6270.631828187232
2169.0;493135.1815796;6311.450890209246
2178.0;495055.7646431999;6345.253144663534
2187.0;496982.1481182001;6376.616113917942
2196.0;498900.3189584;6394.0767457689
2205.0;500828.2070852;6428.356857822425
